room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
958,1169,Entire home/apt,,Western Addition,32,5.0,3,1.0,217.0,2.0,37.76931,-122.433856,2015-02-19 19:21:30.961
5193,7476,Entire home/apt,,Nob Hill,150,4.5,2,,179.0,1.0,37.795468,-122.416803,2015-02-19 12:48:28.351
5841,10038,Entire home/apt,,Mission,31,4.5,3,1.0,230.0,3.0,37.752237,-122.422209,2015-02-19 19:51:25.440
5858,8904,Entire home/apt,,Bernal Heights,106,5.0,6,3.0,269.0,4.0,37.745112,-122.421018,2015-02-19 20:15:27.022
7918,21994,Private room,,Haight Ashbury,12,4.0,2,1.0,83.0,7.0,37.76669,-122.452505,2015-02-19 20:32:35.786
8142,21994,Private room,,Haight Ashbury,2,5.0,2,1.0,88.0,7.0,37.764872,-122.451828,2015-02-19 19:46:50.412
8339,24215,Entire home/apt,,Western Addition,21,5.0,4,2.0,505.0,4.0,37.773147,-122.436077,2015-02-19 14:37:22.319
8567,25601,Entire home/apt,,Western Addition,15,4.5,7,2.0,320.0,3.0,37.784707,-122.445554,2015-02-19 13:57:39.706
8727,26657,Entire home/apt,,Noe Valley,8,5.0,4,1.0,320.0,1.0,37.751336,-122.432593,2015-02-19 11:36:00.323
8739,7149,Private room,,Mission,288,5.0,3,1.0,153.0,1.0,37.755592,-122.423657,2015-02-19 11:53:05.208
8775,27037,Entire home/apt,,Mission,11,5.0,4,3.0,320.0,2.0,37.75174,-122.409421,2015-02-19 12:45:43.176
9225,29674,Entire home/apt,,Potrero Hill,160,4.5,2,1.0,179.0,1.0,37.76241,-122.405179,2015-02-19 11:16:23.700
10251,35199,Entire home/apt,,Mission,178,5.0,6,2.0,307.0,3.0,37.758743,-122.413272,2015-02-19 11:19:18.132
10819,38836,Entire home/apt,,Marina,17,4.5,8,3.0,611.0,3.0,37.800601,-122.425045,2015-02-19 12:39:41.928
