room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
4111549,814969,Entire home/apt,,South of Market,23,4.5,4,2.0,388.0,1.0,37.776963,-122.410717,2016-05-20 03:32:02.306073
11254534,57557655,Private room,,Nob Hill,2,,2,1.0,75.0,1.0,37.789187,-122.418381,2016-05-20 03:31:58.049210
5013816,22338989,Private room,,Western Addition,129,5.0,2,1.0,129.0,1.0,37.787995,-122.434286,2016-05-20 03:31:25.066686
8887700,1397332,Private room,,Russian Hill,7,4.5,2,1.0,185.0,2.0,37.80255,-122.418487,2016-05-20 03:30:48.138124
11477999,11279786,Private room,,Western Addition,0,,2,1.0,250.0,1.0,37.777062,-122.438153,2016-05-20 03:29:20.918668
8763620,23278,Shared room,,Mission,22,5.0,1,1.0,55.0,2.0,37.758273,-122.412715,2016-05-20 03:29:15.186733
5944921,15400470,Private room,,Inner Richmond,18,5.0,1,1.0,95.0,3.0,37.774548,-122.458669,2016-05-20 03:29:07.138855
12011193,27123550,Private room,,Bayview,0,,2,1.0,40.0,6.0,37.735236,-122.387621,2016-05-20 03:29:02.945722
10911128,48533928,Entire home/apt,,Bernal Heights,0,,8,4.0,700.0,1.0,37.737107,-122.418001,2016-05-20 03:28:27.494082
10829571,4811662,Entire home/apt,,Downtown/Civic Center,0,,7,3.0,1000.0,1.0,37.776014,-122.418736,2016-05-20 03:28:24.163387
1026195,4924711,Shared room,,Russian Hill,82,5.0,1,1.0,75.0,1.0,37.798667,-122.409642,2016-05-20 03:28:10.295027
5590567,2627911,Private room,,Castro/Upper Market,10,4.5,2,1.0,95.0,4.0,37.766829,-122.434351,2016-05-20 03:28:02.230198
4105694,21299098,Entire home/apt,,West of Twin Peaks,12,4.5,5,2.0,225.0,1.0,37.734626,-122.45866,2016-05-20 03:26:41.341044
596462,2677490,Private room,,Potrero Hill,0,,2,1.0,155.0,5.0,37.759544,-122.402567,2016-05-20 03:26:08.170811
1154506,6327082,Private room,,Mission,37,4.5,6,1.0,108.0,4.0,37.766704,-122.418261,2016-05-20 03:26:05.762554
10970070,12231234,Private room,,Nob Hill,0,,2,1.0,80.0,5.0,37.792181,-122.418561,2016-05-20 03:25:57.900057
13042866,9213251,Entire home/apt,,Noe Valley,0,,3,1.0,240.0,4.0,37.752413,-122.426641,2016-05-20 03:25:05.235280
449532,1877737,Private room,,Haight Ashbury,85,5.0,2,1.0,195.0,3.0,37.771395,-122.440504,2016-05-20 03:24:29.941182
7558236,194540,Entire home/apt,,Mission,7,4.5,6,4.0,700.0,3.0,37.760801,-122.419163,2016-05-20 03:24:10.053423
10395518,20381347,Entire home/apt,,South of Market,4,4.5,3,0.0,295.0,2.0,37.778858,-122.410141,2016-05-20 03:24:07.718481
6627450,14326861,Entire home/apt,,Castro/Upper Market,11,5.0,7,3.0,455.0,3.0,37.764397,-122.43054,2016-05-20 03:23:39.837327
41867,182972,Entire home/apt,,Western Addition,82,4.5,3,0.0,165.0,2.0,37.776749,-122.425138,2016-05-20 03:23:05.844925
1499350,2945427,Private room,,Mission,2,,2,1.0,75.0,1.0,37.764042,-122.423494,2016-05-20 03:22:31.282263
10902078,42316534,Private room,,North Beach,0,,2,1.0,300.0,1.0,37.800762,-122.408956,2016-05-20 03:22:03.816452
11207342,7872743,Shared room,,South of Market,0,,1,1.0,40.0,1.0,37.775803,-122.392519,2016-05-20 03:21:21.243608
10268558,52696865,Private room,,Pacific Heights,0,,2,1.0,400.0,1.0,37.79364,-122.430586,2016-05-20 03:20:55.758177
