room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
8996945,33532518,Entire home/apt,,Inner Richmond,54,5.0,4,,183.0,1.0,37.778707,-122.460057,2016-11-22 11:32:10.653244
509802,2274338,Entire home/apt,,Excelsior,11,5.0,2,,99.0,1.0,37.725994,-122.41063,2016-11-22 11:31:33.315520
12025995,5642683,Entire home/apt,,Noe Valley,25,4.5,3,,248.0,2.0,37.752253,-122.432181,2016-11-22 11:31:21.181533
15172888,1846693,Entire home/apt,,Nob Hill,2,,3,,290.0,10.0,37.790262,-122.413747,2016-11-22 11:31:07.458974
3013427,15357373,Private room,,Western Addition,32,5.0,2,,89.0,4.0,37.779168,-122.446269,2016-11-22 11:29:54.041602
7451545,1822072,Shared room,,Marina,0,,1,,810.0,,37.798446,-122.434957,2016-11-22 11:29:22.760224
4295573,260494,Private room,,Excelsior,34,5.0,1,,52.0,3.0,37.724241,-122.433898,2016-11-22 11:29:01.322144
11206585,58109145,Shared room,,Inner Richmond,25,5.0,1,,50.0,3.0,37.778114,-122.45511,2016-11-22 11:28:58.281705
3534412,2283942,Private room,,Mission,241,4.5,3,,69.0,1.0,37.752907,-122.406263,2016-11-22 11:28:10.297258
15756691,99783900,Entire home/apt,,Outer Richmond,2,,3,,175.0,,37.779541,-122.490116,2016-11-22 11:27:36.407650
12656644,31744069,Entire home/apt,,Russian Hill,8,4.5,3,,230.0,1.0,37.805735,-122.423399,2016-11-22 11:26:28.382439
630059,2714351,Entire home/apt,,Nob Hill,18,5.0,2,,150.0,2.0,37.795106,-122.41958,2016-11-22 11:26:08.827681
15828423,5215966,Shared room,,Outer Sunset,1,,1,,39.0,1.0,37.755573,-122.494409,2016-11-22 11:25:11.171952
13786977,17972237,Private room,,Western Addition,0,,1,,100.0,1.0,37.783177,-122.431244,2016-11-22 11:25:06.911760
14162759,2389112,Private room,,Outer Mission,3,5.0,5,,500.0,1.0,37.732133,-122.436001,2016-11-22 11:23:55.901690
200663,981454,Entire home/apt,,Marina,10,5.0,4,,190.0,3.0,37.797048,-122.447068,2016-11-22 11:23:31.270646
15605282,5020080,Entire home/apt,,Inner Richmond,4,5.0,2,,38.0,1.0,37.782256,-122.477848,2016-11-22 11:23:13.020654
7290262,2929255,Private room,,Western Addition,67,5.0,1,,95.0,2.0,37.769972,-122.429773,2016-11-22 11:21:10.323445
7436608,38956179,Private room,,Marina,30,4.5,2,,144.0,1.0,37.806595,-122.438761,2016-11-22 11:20:58.432707
2612741,13379673,Entire home/apt,,Western Addition,46,5.0,6,,200.0,3.0,37.770277,-122.434789,2016-11-22 11:20:06.169887
11039732,866853,Private room,,Mission,12,5.0,6,,185.0,2.0,37.761068,-122.410518,2016-11-22 11:20:01.653936
5299461,23278,Shared room,,Mission,79,5.0,1,,55.0,2.0,37.758526,-122.413337,2016-11-22 11:19:42.192409
15229679,96424821,Entire home/apt,,Haight Ashbury,3,,1,,150.0,1.0,37.773315,-122.453367,2016-11-22 11:19:16.498593
