room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
2558505,13098259,Entire home/apt,,Haight Ashbury,5,5.0,6,3.0,550.0,1.0,37.771027,-122.452696,2016-06-05 15:47:56.959887
1841832,3192044,Entire home/apt,,Nob Hill,116,4.5,2,0.0,129.0,1.0,37.794929,-122.415176,2016-06-05 15:47:13.864177
5196859,249857,Private room,,Haight Ashbury,39,4.5,2,1.0,120.0,1.0,37.770882,-122.449566,2016-06-05 15:46:13.623467
3491545,43806,Shared room,,Haight Ashbury,13,4.5,10,1.0,40.0,30.0,37.771171,-122.439036,2016-06-05 15:45:56.602795
11758590,39989352,Shared room,,South of Market,0,,1,1.0,59.0,2.0,37.781947,-122.402853,2016-06-05 15:44:36.649936
10700645,12965916,Entire home/apt,,Haight Ashbury,9,5.0,6,3.0,350.0,30.0,37.769482,-122.44651,2016-06-05 15:43:50.232367
2778349,5882562,Entire home/apt,,Glen Park,2,,6,4.0,300.0,3.0,37.740444,-122.428554,2016-06-05 15:43:45.718831
3836537,7206100,Shared room,,South of Market,13,5.0,4,1.0,100.0,30.0,37.779194,-122.412852,2016-06-05 15:42:40.548506
13129814,32239744,Entire home/apt,,Potrero Hill,1,,2,1.0,180.0,2.0,37.759393,-122.40243,2016-06-05 15:42:36.649904
9727465,7750221,Shared room,,Outer Mission,3,5.0,1,1.0,30.0,30.0,37.722384,-122.444633,2016-06-05 15:42:16.926301
7801163,2212515,Entire home/apt,,Western Addition,7,5.0,2,1.0,250.0,5.0,37.785696,-122.431328,2016-06-05 15:42:04.103443
7085722,35025523,Private room,,Mission,42,5.0,1,1.0,85.0,2.0,37.762048,-122.407898,2016-06-05 15:41:57.610919
13018401,64086645,Entire home/apt,,Downtown/Civic Center,0,,6,3.0,525.0,2.0,37.789186,-122.413542,2016-06-05 15:41:35.258556
7227902,743738,Entire home/apt,,Potrero Hill,1,,7,3.0,400.0,3.0,37.760961,-122.393555,2016-06-05 15:41:32.394968
8594771,45164648,Entire home/apt,,Downtown/Civic Center,2,,1,1.0,85.0,1.0,37.781827,-122.414529,2016-06-05 15:41:24.421183
2432711,12167472,Private room,,Nob Hill,3,4.5,2,1.0,200.0,1.0,37.792316,-122.417231,2016-06-05 15:41:06.390992
10863432,8679488,Entire home/apt,,Nob Hill,0,,2,1.0,115.0,7.0,37.795725,-122.418024,2016-06-05 15:40:28.920665
8320256,25361970,Private room,,Outer Sunset,18,4.5,4,1.0,200.0,,37.761468,-122.481317,2016-06-05 15:40:24.522975
13085000,72613639,Private room,,Outer Mission,0,,2,1.0,66.0,1.0,37.720504,-122.444476,2016-06-05 15:40:20.297517
13283112,6192862,Entire home/apt,,Downtown/Civic Center,0,,3,1.0,110.0,2.0,37.787812,-122.41671,2016-06-05 15:40:16.312787
10809992,34148862,Private room,,Ocean View,0,,2,1.0,120.0,2.0,37.721985,-122.470592,2016-06-05 15:40:13.852910
6940448,31607663,Private room,,West of Twin Peaks,2,,1,1.0,56.0,3.0,37.725576,-122.457469,2016-06-05 15:40:01.721566
3801934,8521885,Private room,,Inner Sunset,99,4.5,2,1.0,100.0,2.0,37.761079,-122.468045,2016-06-05 15:39:45.906556
8443583,26548414,Entire home/apt,,Bernal Heights,1,,8,4.0,595.0,5.0,37.740397,-122.414053,2016-06-05 15:39:35.707520
4571468,23672900,Entire home/apt,,Mission,70,5.0,2,0.0,235.0,3.0,37.759723,-122.4235,2016-06-05 15:39:19.937825
2007101,10330912,Entire home/apt,,South of Market,15,5.0,4,1.0,400.0,2.0,37.780189,-122.406009,2016-06-05 15:38:23.724053
10883329,9744251,Private room,,Downtown/Civic Center,0,,1,1.0,99.0,1.0,37.782515,-122.421501,2016-06-05 15:38:20.576607
3319447,5034081,Entire home/apt,,Golden Gate Park,64,5.0,2,0.0,180.0,2.0,37.766516,-122.456014,2016-06-05 15:37:46.590589
66664,252184,Entire home/apt,,Inner Sunset,40,4.0,3,1.0,95.0,15.0,37.757104,-122.465938,2016-06-05 15:37:27.693546
8702764,3543127,Private room,,Mission,28,4.5,2,1.0,120.0,1.0,37.751231,-122.409211,2016-06-05 15:36:58.803011
198937,971713,Entire home/apt,,Inner Sunset,132,5.0,2,1.0,179.0,3.0,37.755532,-122.471347,2016-06-05 15:35:56.816292
13005395,2120205,Entire home/apt,,Western Addition,0,,4,1.0,195.0,1.0,37.782819,-122.434548,2016-06-05 15:35:53.595233
7111375,28621709,Private room,,Western Addition,10,4.5,2,1.0,160.0,2.0,37.775223,-122.430811,2016-06-05 15:34:34.267358
893914,3978747,Entire home/apt,,Castro/Upper Market,71,4.5,4,1.0,160.0,3.0,37.762556,-122.427213,2016-06-05 15:34:29.627581
330535,625762,Entire home/apt,,Haight Ashbury,105,5.0,6,3.0,230.0,30.0,37.768923,-122.446147,2016-06-05 15:34:17.962180
516836,2544752,Private room,,Potrero Hill,167,5.0,2,1.0,150.0,2.0,37.759334,-122.403672,2016-06-05 15:33:40.289088
6020579,26977960,Entire home/apt,,Bernal Heights,1,,6,3.0,250.0,7.0,37.735225,-122.414035,2016-06-05 15:32:15.289531
2292432,9585948,Entire home/apt,,Mission,13,5.0,5,3.0,395.0,3.0,37.753365,-122.416406,2016-06-05 15:32:09.809511
