,host_id,room_type,year,count
187,101521,Entire home/apt,2013,
188,101697,Entire home/apt,2013,
189,101839,Entire home/apt,2013,
190,101879,Entire home/apt,2013,
191,101929,Entire home/apt,2013,
192,102130,Entire home/apt,2013,
193,102973,Entire home/apt,2013,
194,103427,Entire home/apt,2013,1.0
195,103882,Entire home/apt,2013,
196,103996,Entire home/apt,2013,
197,104029,Entire home/apt,2013,
198,104075,Entire home/apt,2013,
199,104451,Entire home/apt,2013,
200,105051,Entire home/apt,2013,
201,105243,Entire home/apt,2013,
202,106005,Entire home/apt,2013,
203,106102,Entire home/apt,2013,
204,106180,Entire home/apt,2013,
205,107051,Entire home/apt,2013,
206,107595,Entire home/apt,2013,
207,107910,Entire home/apt,2013,
208,109198,Entire home/apt,2013,
209,109900,Entire home/apt,2013,
210,110043,Entire home/apt,2013,
211,110197,Entire home/apt,2013,
212,110435,Entire home/apt,2013,
213,111141,Entire home/apt,2013,
214,111271,Entire home/apt,2013,
215,111540,Entire home/apt,2013,
216,112125,Entire home/apt,2013,
217,112164,Entire home/apt,2013,
218,112300,Entire home/apt,2013,1.0
219,112395,Entire home/apt,2013,
220,112754,Entire home/apt,2013,
221,115340,Entire home/apt,2013,
222,115673,Entire home/apt,2013,
223,115849,Entire home/apt,2013,
224,116319,Entire home/apt,2013,
225,117610,Entire home/apt,2013,
226,117615,Entire home/apt,2013,
227,118409,Entire home/apt,2013,
228,118581,Entire home/apt,2013,
229,118809,Entire home/apt,2013,
230,119920,Entire home/apt,2013,
231,119977,Entire home/apt,2013,
232,121584,Entire home/apt,2013,
233,123429,Entire home/apt,2013,
234,124237,Entire home/apt,2013,
235,124303,Entire home/apt,2013,
236,124878,Entire home/apt,2013,
237,125497,Entire home/apt,2013,
238,126036,Entire home/apt,2013,
239,126122,Entire home/apt,2013,
240,126182,Entire home/apt,2013,
241,126263,Entire home/apt,2013,
242,126546,Entire home/apt,2013,
243,126930,Entire home/apt,2013,
244,127063,Entire home/apt,2013,
245,127367,Entire home/apt,2013,2.0
246,127819,Entire home/apt,2013,
247,128003,Entire home/apt,2013,
248,129027,Entire home/apt,2013,
249,129166,Entire home/apt,2013,
250,129655,Entire home/apt,2013,
251,131238,Entire home/apt,2013,
252,132268,Entire home/apt,2013,
253,132373,Entire home/apt,2013,
254,133136,Entire home/apt,2013,
255,134190,Entire home/apt,2013,
256,134873,Entire home/apt,2013,
