high_spelling,high_count,low_spelling,low_count,fuzz_ratio
Flyplassvegen,27,Flyplassveien,7,92
Austrevågen,21,Austevågen,5,95
Solhaugvegen,22,Solhaugveien,7,92
Siljustølvegen,14,Siljustølveien,1,93
