high_spelling,high_count,low_spelling,low_count,fuzz_ratio
Solhaugvegen,22,Solhaugveien,7,92
Austrevågen,21,Austevågen,5,95
Flyplassvegen,27,Flyplassveien,7,92
Søråshøgda,377,Smøråshøgda,1,95
