room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
6245666,32424177,Private room,,Financial District,0.0,,2.0,1.0,186.0,1.0,37.789805,-122.4057,2015-08-21 16:54:47.397989
6662231,204441,Private room,,Chinatown,8.0,5.0,2.0,1.0,129.0,1.0,37.797917,-122.405841,2015-08-21 16:54:47.397989
1356129,7361147,Private room,,Mission,32.0,5.0,2.0,1.0,145.0,2.0,37.750835,-122.423411,2015-08-21 16:54:47.397989
7009809,33833956,Entire home/apt,,Inner Sunset,4.0,5.0,,3.0,399.0,2.0,37.762239,-122.467632,2015-08-21 20:14:38.635708
4076586,2807454,Entire home/apt,,Bernal Heights,19.0,4.5,4.0,2.0,199.0,,37.735759,-122.420439,2015-08-21 16:54:47.397989
56715,252376,Entire home/apt,,Downtown/Civic Center,36.0,5.0,4.0,2.0,190.0,1.0,37.788155,-122.417216,2015-08-21 16:54:47.397989
3532524,4096926,Entire home/apt,,South of Market,2.0,4.0,4.0,1.0,190.0,2.0,37.779172,-122.402997,2015-08-21 16:54:47.397989
4258257,20189284,Entire home/apt,,Nob Hill,27.0,4.5,2.0,0.0,160.0,3.0,37.791648,-122.413633,2015-08-21 16:54:47.397989
983176,4297383,Entire home/apt,,Western Addition,2.0,4.5,4.0,2.0,350.0,6.0,37.777307,-122.442143,2015-08-21 22:53:33.253236
1515722,8093204,Private room,,Glen Park,110.0,4.5,2.0,1.0,90.0,1.0,37.738756,-122.424859,2015-08-21 16:54:47.397989
2234170,11405964,Entire home/apt,,Bernal Heights,36.0,5.0,2.0,1.0,160.0,2.0,37.74022,-122.421135,2015-08-21 16:54:47.397989
496042,2449849,Entire home/apt,,Mission,38.0,4.5,3.0,2.0,250.0,3.0,37.758693,-122.424996,2015-08-21 16:54:47.397989
66610,128327,Private room,,Castro/Upper Market,79.0,5.0,2.0,1.0,1500.0,28.0,37.763297,-122.428109,2015-08-21 16:54:47.397989
2738331,14011603,Entire home/apt,,Haight Ashbury,35.0,4.5,2.0,1.0,195.0,3.0,37.768516,-122.449401,2015-08-21 16:54:47.397989
3952627,18886781,Entire home/apt,,Downtown/Civic Center,4.0,4.5,2.0,0.0,180.0,5.0,37.788228,-122.412488,2015-08-21 16:54:47.397989
830982,4352245,Entire home/apt,,Castro/Upper Market,8.0,5.0,2.0,1.0,149.0,4.0,37.763916,-122.440859,2015-08-21 16:54:47.397989
2331166,10573197,Private room,,Outer Richmond,50.0,5.0,2.0,1.0,75.0,3.0,37.773338,-122.500904,2015-08-21 16:54:47.397989
2987135,15231747,Entire home/apt,,Castro/Upper Market,19.0,4.5,,2.0,6200.0,30.0,37.757613,-122.432755,2015-08-21 16:54:47.397989
1438504,6478703,Entire home/apt,,Pacific Heights,28.0,4.5,4.0,2.0,575.0,3.0,37.791843,-122.442233,2015-08-21 16:54:47.397989
4439461,22338989,Private room,,Western Addition,72.0,5.0,2.0,1.0,129.0,1.0,37.788734,-122.434802,2015-08-21 16:54:47.397989
691446,3534641,Entire home/apt,,Haight Ashbury,34.0,5.0,,4.0,650.0,3.0,37.773968,-122.446159,2015-08-21 16:54:47.397989
4897595,18123914,Private room,,Western Addition,3.0,5.0,1.0,1.0,95.0,6.0,37.78232,-122.431875,2015-08-21 16:54:47.397989
6145184,31877112,Private room,,Mission,0.0,,2.0,1.0,10.0,1.0,37.755707,-122.418245,2015-08-21 16:54:47.397989
5919500,1650933,Entire home/apt,,Presidio,2.0,4.5,4.0,1.0,295.0,3.0,37.791136,-122.452188,2015-08-21 16:54:47.397989
1547539,6379840,Entire home/apt,,Marina,2.0,4.5,4.0,2.0,259.0,2.0,37.798786,-122.446389,2015-08-21 16:54:47.397989
3117788,1774868,Private room,,Mission,17.0,4.5,1.0,1.0,75.0,1.0,37.753476,-122.41705,2015-08-21 16:54:47.397989
2046634,10220182,Private room,,Outer Mission,114.0,4.5,2.0,1.0,79.0,,37.724828,-122.436088,2015-08-21 16:54:47.397989
4216611,17348692,Entire home/apt,,Inner Richmond,40.0,5.0,4.0,1.0,218.0,,37.775807,-122.457686,2015-08-21 16:54:47.397989
3458988,43806,Shared room,,Haight Ashbury,9.0,5.0,5.0,1.0,1800.0,30.0,37.771289,-122.43831,2015-08-21 16:54:47.397989
3513741,9503865,Private room,,Lakeshore,7.0,5.0,4.0,1.0,250.0,1.0,37.734045,-122.488981,2015-08-21 16:54:47.397989
3168279,16071070,Private room,,Potrero Hill,2.0,5.0,1.0,1.0,73.0,6.0,37.765093,-122.396969,2015-08-21 16:54:47.397989
5769693,9081746,Private room,,Mission,1.0,5.0,2.0,1.0,300.0,1.0,37.751747,-122.420775,2015-08-21 16:54:47.397989
3309722,5459289,Entire home/apt,,Glen Park,67.0,5.0,2.0,1.0,129.0,2.0,37.738805,-122.425214,2015-08-21 16:54:47.397989
2702606,13830783,Entire home/apt,,South of Market,0.0,,1.0,1.0,194.0,14.0,37.776601,-122.396736,2015-08-21 16:54:47.397989
3776230,2393263,Private room,,Pacific Heights,13.0,5.0,2.0,1.0,190.0,2.0,37.796545,-122.430449,2015-08-21 16:54:47.397989
6887234,7858294,Private room,,Outer Richmond,1.0,5.0,1.0,1.0,80.0,2.0,37.77672,-122.482737,2015-08-21 18:03:51.437633
1270105,3620207,Entire home/apt,,Castro/Upper Market,68.0,4.5,2.0,0.0,159.0,2.0,37.766516,-122.426831,2015-08-21 16:54:47.397989
6364612,4167712,Entire home/apt,,Western Addition,0.0,,4.0,1.0,150.0,1.0,37.788178,-122.425683,2015-08-21 22:56:23.302233
85521,30614,Entire home/apt,,Mission,8.0,4.0,4.0,1.0,4000.0,30.0,37.759349,-122.408467,2015-08-21 16:54:47.397989
480621,1241490,Entire home/apt,,Mission,24.0,5.0,3.0,1.0,145.0,3.0,37.748589,-122.421776,2015-08-21 16:54:47.397989
2374370,1924599,Private room,,Western Addition,92.0,5.0,3.0,1.0,137.0,1.0,37.787841,-122.430822,2015-08-21 16:54:47.397989
6289820,32699264,Entire home/apt,,Downtown/Civic Center,1.0,5.0,2.0,1.0,175.0,3.0,37.777162,-122.41736,2015-08-21 16:54:47.397989
6742780,35306290,Private room,,South of Market,0.0,,1.0,1.0,79.0,1.0,37.775773,-122.393909,2015-08-21 18:11:18.865774
1673011,8856312,Entire home/apt,,Castro/Upper Market,26.0,5.0,5.0,3.0,500.0,3.0,37.758222,-122.427975,2015-08-21 16:54:47.397989
3272890,2170742,Private room,,Castro/Upper Market,9.0,5.0,2.0,1.0,169.0,14.0,37.766449,-122.428955,2015-08-21 16:54:47.397989
837045,4374318,Entire home/apt,,Western Addition,14.0,4.5,4.0,2.0,195.0,2.0,37.771591,-122.432037,2015-08-21 16:54:47.397989
256148,1239523,Private room,,Castro/Upper Market,256.0,5.0,2.0,1.0,139.0,1.0,37.758759,-122.434729,2015-08-21 16:54:47.397989
6337637,3942235,Private room,,Western Addition,0.0,,,1.0,700.0,1.0,37.788175,-122.424752,2015-08-21 16:54:47.397989
3889219,734170,Entire home/apt,,Pacific Heights,5.0,5.0,3.0,2.0,780.0,5.0,37.796588,-122.427507,2015-08-21 16:54:47.397989
2786195,14252933,Entire home/apt,,Outer Sunset,0.0,,4.0,2.0,100.0,14.0,37.761845,-122.490835,2015-08-21 16:54:47.397989
