room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
6245666,32424177.0,Shared room,,Financial District,0,,2.0,1.0,204.0,1.0,37.789805,-122.4057,2015-12-14 14:47:13.978047
6007099,1233834.0,Private room,,Outer Richmond,29,5.0,2.0,1.0,80.0,2.0,37.775008,-122.48822,2015-12-14 21:29:40.363105
6349016,4284476.0,Private room,,Mission,2,5.0,2.0,1.0,90.0,7.0,37.768589,-122.416603,2015-12-14 21:29:19.067863
9066717,1931704.0,Entire home/apt,,Bernal Heights,2,5.0,4.0,1.0,95.0,5.0,37.747528,-122.415599,2015-12-14 21:29:06.327750
4030029,10815497.0,Private room,,Haight Ashbury,1,,1.0,1.0,150.0,1.0,37.763503,-122.447768,2015-12-14 21:28:59.412190
6748645,3109494.0,Entire home/apt,,Noe Valley,7,5.0,4.0,3.0,350.0,3.0,37.755479,-122.429413,2015-12-14 21:28:47.255156
4836520,3354730.0,Entire home/apt,,South of Market,4,2.5,5.0,2.0,190.0,1.0,37.778535,-122.398665,2015-12-14 21:28:30.679480
7514742,39370274.0,Private room,,Bayview,25,5.0,4.0,1.0,112.0,2.0,37.73192,-122.388212,2015-12-14 21:28:17.923627
7133178,37361308.0,Entire home/apt,,Downtown/Civic Center,0,,2.0,0.0,125.0,1.0,37.783496,-122.414195,2015-12-14 21:28:13.779809
26488,112300.0,Entire home/apt,,Financial District,48,5.0,2.0,1.0,933.0,360.0,37.790899,-122.393294,2015-12-14 21:28:05.143673
2374370,1924599.0,Private room,,Western Addition,117,5.0,3.0,1.0,99.0,1.0,37.787841,-122.430822,2015-12-14 21:27:51.639954
8651483,8290605.0,Entire home/apt,,South of Market,0,,4.0,2.0,495.0,3.0,37.772046,-122.421638,2015-12-14 21:27:41.590351
3776230,2393263.0,Private room,,Pacific Heights,14,5.0,2.0,1.0,190.0,2.0,37.796545,-122.430449,2015-12-14 21:27:39.710305
1881471,2273693.0,Private room,,Parkside,0,,2.0,1.0,85.0,1.0,37.745374,-122.480402,2015-12-14 21:27:35.799688
246959,1286670.0,Private room,,Western Addition,37,5.0,1.0,1.0,99.0,3.0,37.772108,-122.424113,2015-12-14 21:27:27.046421
7973978,24986327.0,Private room,,Outer Richmond,14,4.5,1.0,1.0,68.0,1.0,37.776384,-122.478227,2015-12-14 21:27:14.034479
9341654,1608989.0,Entire home/apt,,Nob Hill,1,5.0,2.0,0.0,170.0,1.0,37.791834,-122.413671,2015-12-14 21:27:12.788319
7075004,37095806.0,Entire home/apt,,Western Addition,0,,5.0,3.0,300.0,7.0,37.781802,-122.438252,2015-12-14 21:27:09.651805
1336998,7250508.0,Private room,,Western Addition,152,5.0,2.0,1.0,90.0,2.0,37.778952,-122.438453,2015-12-14 21:27:07.911330
8565105,17042045.0,Private room,,Downtown/Civic Center,1,4.0,2.0,1.0,99.0,1.0,37.786249,-122.409754,2015-12-14 21:26:52.525750
7176007,136780.0,Entire home/apt,,Mission,2,3.5,4.0,2.0,225.0,2.0,37.758236,-122.411902,2015-12-14 21:26:39.049470
5793128,30054007.0,Entire home/apt,,Downtown/Civic Center,1,5.0,3.0,1.0,207.0,1.0,37.787534,-122.419401,2015-12-14 21:26:36.356187
