room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
3636189,9744251,Shared room,,South of Market,3,4.5,8,1.0,213.0,,37.777214,-122.402398,2017-02-16 15:49:30.797830
6750199,25714209,Shared room,,Downtown/Civic Center,4,5.0,2,1.0,145.0,,37.785847,-122.416518,2017-02-16 15:49:13.297617
72444,329072,Shared room,,Financial District,186,4.5,4,1.0,90.0,,37.793088,-122.404431,2017-02-16 15:49:05.379412
4347535,3344775,Shared room,,Western Addition,0,0.0,1,1.0,400.0,,37.770644,-122.436452,2017-02-16 15:48:56.478009
15328084,3031100,Shared room,,Nob Hill,0,0.0,2,1.0,225.0,,37.795819,-122.413822,2017-02-16 15:48:55.498586
2846662,9476237,Shared room,,Pacific Heights,1,0.0,3,1.0,250.0,,37.796174,-122.431614,2017-02-16 15:48:55.492897
14500176,3576729,Shared room,,Mission,1,0.0,2,1.0,300.0,,37.768049,-122.42569,2017-02-16 15:48:55.490046
7528301,5164455,Shared room,,Pacific Heights,1,0.0,1,1.0,250.0,,37.794576,-122.426172,2017-02-16 15:48:55.487169
4721183,24386248,Shared room,,Marina,4,4.5,2,1.0,199.0,,37.802986,-122.442657,2017-02-16 15:48:54.438534
10747952,55567217,Shared room,,Potrero Hill,0,0.0,2,1.0,200.0,,37.761797,-122.398136,2017-02-16 15:48:54.435933
11080673,20612226,Shared room,,Downtown/Civic Center,0,0.0,2,1.0,200.0,,37.774905,-122.420798,2017-02-16 15:48:54.433611
13558325,78101035,Shared room,,Outer Richmond,0,0.0,2,1.0,200.0,,37.782934,-122.478551,2017-02-16 15:48:54.430265
4833664,2522761,Shared room,,Downtown/Civic Center,1,0.0,1,1.0,170.0,,37.788733,-122.413018,2017-02-16 15:48:52.931253
8404771,36471102,Shared room,,Bayview,0,0.0,1,1.0,150.0,,37.738795,-122.40218,2017-02-16 15:48:52.928988
4081570,21170180,Shared room,,South of Market,0,0.0,1,1.0,175.0,,37.780513,-122.397095,2017-02-16 15:48:52.926359
3821508,18776658,Shared room,,Nob Hill,16,5.0,3,1.0,159.0,,37.789729,-122.412503,2017-02-16 15:48:52.924245
8306266,43793752,Shared room,,South of Market,11,5.0,1,1.0,155.0,,37.779889,-122.402881,2017-02-16 15:48:52.921473
7712636,40517228,Shared room,,Mission,1,0.0,1,1.0,150.0,,37.753399,-122.417349,2017-02-16 15:48:52.917457
15240406,18212060,Shared room,,Haight Ashbury,1,0.0,1,1.0,155.0,,37.776321,-122.438312,2017-02-16 15:48:52.914927
10839934,8334445,Shared room,,Western Addition,0,0.0,2,1.0,160.0,,37.774644,-122.432634,2017-02-16 15:48:52.912737
10910543,56550556,Shared room,,Presidio Heights,0,0.0,2,1.0,175.0,,37.783466,-122.447769,2017-02-16 15:48:52.910054
4170452,21408671,Shared room,,Inner Richmond,1,0.0,1,1.0,150.0,,37.773817,-122.469664,2017-02-16 15:48:52.904206
9529057,5181498,Shared room,,Inner Sunset,0,0.0,1,1.0,105.0,,37.764785,-122.462207,2017-02-16 15:48:51.157434
7419076,38863639,Shared room,,Diamond Heights,0,0.0,1,1.0,120.0,,37.744062,-122.439526,2017-02-16 15:48:51.151707
16606328,4582815,Shared room,,Financial District,3,5.0,2,1.0,120.0,,37.784647,-122.399711,2017-02-16 15:48:51.147591
15218896,50696929,Shared room,,Mission,9,4.5,2,1.0,110.0,,37.763851,-122.411239,2017-02-16 15:48:51.144953
8504147,28304379,Shared room,,Mission,0,0.0,2,1.0,100.0,,37.75847,-122.407347,2017-02-16 15:48:49.693904
11021380,614348,Shared room,,Inner Sunset,1,0.0,2,1.0,99.0,,37.764562,-122.457307,2017-02-16 15:48:49.691253
8598745,45251621,Shared room,,Nob Hill,0,0.0,1,1.0,85.0,,37.79119,-122.420715,2017-02-16 15:48:49.689178
10734875,55493537,Shared room,,Outer Sunset,11,5.0,2,1.0,100.0,,37.760919,-122.508477,2017-02-16 15:48:49.686878
11528376,14488206,Shared room,,Mission,0,0.0,1,1.0,100.0,,37.751365,-122.408968,2017-02-16 15:48:49.682596
16464767,2750828,Shared room,,Mission,1,0.0,1,1.0,99.0,,37.751589,-122.421867,2017-02-16 15:48:49.680239
11638464,61691252,Shared room,,Nob Hill,1,0.0,1,1.0,100.0,,37.794078,-122.41509,2017-02-16 15:48:49.677685
7181819,17018982,Shared room,,North Beach,33,5.0,1,1.0,95.0,,37.804307,-122.412341,2017-02-16 15:48:49.675084
8037572,6990092,Shared room,,Western Addition,71,4.5,2,1.0,88.0,,37.774602,-122.42991,2017-02-16 15:48:49.672937
6136320,638405,Shared room,,Nob Hill,2,0.0,2,1.0,99.0,,37.793557,-122.412197,2017-02-16 15:48:49.670176
1711403,1110789,Shared room,,Western Addition,83,5.0,3,1.0,85.0,,37.782553,-122.443936,2017-02-16 15:48:49.667290
6910758,30920210,Shared room,,South of Market,133,5.0,2,1.0,99.0,,37.775244,-122.407506,2017-02-16 15:48:49.662513
11461771,9744251,Shared room,,Downtown/Civic Center,6,4.0,14,1.0,69.0,,37.782079,-122.421775,2017-02-16 15:48:48.457868
12713376,23624743,Shared room,,South of Market,1,0.0,2,1.0,69.0,,37.777241,-122.392605,2017-02-16 15:48:48.454800
17130200,11186281,Shared room,,South of Market,0,0.0,4,1.0,60.0,,37.781882,-122.406216,2017-02-16 15:48:48.452446
12609273,60803864,Shared room,,Nob Hill,7,5.0,1,1.0,75.0,,37.791655,-122.414574,2017-02-16 15:48:48.450022
7844269,41334972,Shared room,,Mission,0,0.0,1,1.0,75.0,,37.760614,-122.422745,2017-02-16 15:48:46.901834
8377605,9744251,Shared room,,Western Addition,8,4.5,14,1.0,69.0,,37.784029,-122.423548,2017-02-16 15:48:46.898846
3139003,15694468,Shared room,,Mission,0,0.0,1,1.0,75.0,,37.761304,-122.408768,2017-02-16 15:48:46.891636
1026195,4924711,Shared room,,North Beach,87,5.0,1,1.0,75.0,,37.800234,-122.409495,2017-02-16 15:48:46.889364
8256165,18682626,Shared room,,South of Market,0,0.0,1,1.0,70.0,,37.778477,-122.393829,2017-02-16 15:48:46.886727
13191340,10623716,Shared room,,South of Market,1,0.0,1,1.0,80.0,,37.774037,-122.396721,2017-02-16 15:48:46.879585
7026597,23224362,Shared room,,Crocker Amazon,0,0.0,1,1.0,69.0,,37.710835,-122.439312,2017-02-16 15:48:46.870305
1710133,5565510,Shared room,,West of Twin Peaks,4,5.0,3,1.0,79.0,,37.735816,-122.464198,2017-02-16 15:48:46.868191
12270642,22931450,Shared room,,North Beach,23,4.5,2,1.0,70.0,,37.799248,-122.404596,2017-02-16 15:48:46.864609
7807401,22053410,Shared room,,Inner Richmond,0,0.0,1,1.0,75.0,,37.781333,-122.454758,2017-02-16 15:48:46.861913
14610133,69716994,Shared room,,Chinatown,1,0.0,1,1.0,75.0,,37.797211,-122.407981,2017-02-16 15:48:46.858964
14383718,69249358,Shared room,,Western Addition,3,5.0,1,1.0,75.0,,37.783098,-122.445781,2017-02-16 15:48:44.022900
8277136,7386041,Shared room,,South of Market,1,0.0,1,1.0,72.0,,37.778446,-122.394132,2017-02-16 15:48:44.020674
6433637,3673651,Shared room,,Mission,3,4.5,1,1.0,75.0,,37.749619,-122.420938,2017-02-16 15:48:44.017613
14610156,69716994,Shared room,,Russian Hill,31,4.5,1,1.0,63.0,,37.79893,-122.410394,2017-02-16 15:48:44.015246
15389724,20385008,Shared room,,Excelsior,0,0.0,3,1.0,70.0,,37.717104,-122.431292,2017-02-16 15:48:44.002913
15775660,6827998,Shared room,,South of Market,7,4.5,1,1.0,72.0,,37.775091,-122.39735,2017-02-16 15:48:43.999727
14040855,84133769,Shared room,,South of Market,8,5.0,1,1.0,63.0,,37.781508,-122.390068,2017-02-16 15:48:43.997487
1056844,757108,Shared room,,Financial District,103,5.0,1,1.0,75.0,,37.790096,-122.395933,2017-02-16 15:48:43.993159
17287248,94204021,Shared room,,South of Market,0,0.0,4,1.0,67.0,,37.773915,-122.392076,2017-02-16 15:48:43.990840
14774400,128498,Shared room,,Nob Hill,9,4.5,2,1.0,80.0,,37.795826,-122.419057,2017-02-16 15:48:43.988589
6104684,638405,Shared room,,Nob Hill,0,0.0,2,1.0,70.0,,37.791125,-122.41336,2017-02-16 15:48:43.986567
11297447,22931450,Shared room,,North Beach,31,5.0,2,1.0,70.0,,37.798492,-122.404073,2017-02-16 15:48:43.984533
1566931,916362,Shared room,,Marina,18,5.0,1,1.0,75.0,,37.802492,-122.429525,2017-02-16 15:48:43.981855
12205354,65392037,Shared room,,South of Market,61,4.5,2,1.0,70.0,,37.778615,-122.406951,2017-02-16 15:48:43.978347
15437518,50498359,Shared room,,South of Market,8,4.0,2,1.0,70.0,,37.78328,-122.397339,2017-02-16 15:48:43.973966
9497143,31164141,Shared room,,Outer Richmond,0,0.0,1,1.0,70.0,,37.778717,-122.485166,2017-02-16 15:48:43.971147
