room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
13497122,3981323,Entire home/apt,,West of Twin Peaks,17,5.0,4,2.0,210.0,2.0,37.730228,-122.458113,2016-10-19 23:03:56.759186
14684733,805377,Entire home/apt,,North Beach,4,4.5,3,0.0,183.0,1.0,37.800628,-122.406079,2016-10-19 23:03:25.855681
7718075,8223604,Private room,,Western Addition,3,5.0,2,1.0,95.0,1.0,37.772023,-122.432035,2016-10-19 23:03:10.567742
752607,3958328,Entire home/apt,,Mission,158,4.5,6,3.0,310.0,3.0,37.76411,-122.421587,2016-10-19 23:03:15.788257
15398301,98519334,Entire home/apt,,Western Addition,0,,4,1.0,250.0,3.0,37.788519,-122.422769,2016-10-19 23:02:37.426884
14875696,1291823,Private room,,Pacific Heights,9,5.0,2,1.0,75.0,1.0,37.791847,-122.429515,2016-10-19 23:02:31.661866
3283844,16304948,Entire home/apt,,Nob Hill,7,4.5,3,1.0,400.0,1.0,37.789695,-122.414927,2016-10-19 23:02:28.039988
1170626,6409131,Entire home/apt,,West of Twin Peaks,34,5.0,6,3.0,299.0,7.0,37.739049,-122.461945,2016-10-19 23:02:27.931107
6238980,6347755,Private room,,Outer Mission,4,5.0,2,1.0,62.0,4.0,37.729709,-122.434569,2016-10-19 23:02:25.219238
9793897,28163432,Private room,,Castro/Upper Market,11,5.0,2,1.0,175.0,1.0,37.764222,-122.433194,2016-10-19 23:02:22.209202
14875761,48607481,Shared room,,Excelsior,2,,1,1.0,33.0,2.0,37.733009,-122.40787,2016-10-19 23:02:18.098391
132662,441564,Entire home/apt,,Downtown/Civic Center,23,5.0,2,0.0,148.0,5.0,37.788722,-122.41299,2016-10-19 23:02:16.474069
15274978,4345175,Entire home/apt,,North Beach,0,,2,1.0,375.0,3.0,37.803845,-122.406214,2016-10-19 23:02:15.140687
8310729,16669739,Private room,,Nob Hill,2,,1,1.0,150.0,2.0,37.794861,-122.416406,2016-10-19 23:02:12.397261
12090089,64804657,Entire home/apt,,North Beach,31,4.5,6,2.0,378.0,,37.802352,-122.408366,2016-10-19 23:02:00.493830
6438454,24170093,Entire home/apt,,Bernal Heights,16,5.0,4,2.0,160.0,2.0,37.746614,-122.414382,2016-10-19 23:01:57.336846
3261455,721036,Entire home/apt,,Haight Ashbury,13,4.5,2,1.0,150.0,3.0,37.775845,-122.43992,2016-10-19 23:01:56.358199
10435334,1145059,Private room,,Downtown/Civic Center,0,,2,1.0,250.0,1.0,37.777224,-122.422984,2016-10-19 23:01:54.201876
14672663,28818929,Private room,,Noe Valley,2,,2,1.0,90.0,2.0,37.74982,-122.428159,2016-10-19 23:01:52.736927
1323660,7183434,Private room,,Castro/Upper Market,66,5.0,2,1.0,137.0,2.0,37.75743,-122.426164,2016-10-19 23:01:49.589058
15346831,3540633,Entire home/apt,,Downtown/Civic Center,0,,4,1.0,350.0,3.0,37.7849,-122.420568,2016-10-19 23:01:42.883758
1160508,2801755,Entire home/apt,,Mission,9,4.0,8,3.0,450.0,3.0,37.75888,-122.41781,2016-10-19 23:01:36.597070
8701226,18582461,Entire home/apt,,Western Addition,0,,2,1.0,3000.0,3.0,37.777158,-122.437677,2016-10-19 23:01:27.709547
8504147,28304379,Shared room,,Mission,0,,2,1.0,100.0,1.0,37.75847,-122.407347,2016-10-19 23:01:25.447778
7129539,33437796,Entire home/apt,,Noe Valley,104,4.5,4,1.0,119.0,1.0,37.747203,-122.434137,2016-10-19 23:01:22.313731
13686891,2268509,Entire home/apt,,Mission,6,5.0,2,1.0,150.0,3.0,37.758063,-122.407935,2016-10-19 23:01:21.755824
1016604,58930,Entire home/apt,,Inner Richmond,7,4.5,8,3.0,450.0,5.0,37.780271,-122.461079,2016-10-19 23:01:19.982683
10812120,39050417,Entire home/apt,,Western Addition,1,,8,3.0,750.0,3.0,37.771975,-122.430613,2016-10-19 23:01:16.768687
4902444,22931450,Shared room,,North Beach,41,4.5,4,1.0,56.0,1.0,37.798451,-122.404453,2016-10-19 23:01:13.553492
14489546,4694479,Private room,,Castro/Upper Market,2,,2,1.0,99.0,1.0,37.762179,-122.445931,2016-10-19 23:01:07.017389
3629365,691475,Entire home/apt,,Haight Ashbury,7,5.0,3,2.0,220.0,2.0,37.766106,-122.445613,2016-10-19 23:00:55.714714
14504660,1115882,Private room,,Castro/Upper Market,0,,3,1.0,125.0,2.0,37.764456,-122.427674,2016-10-19 23:00:37.875371
4526309,8693398,Entire home/apt,,Mission,0,,4,0.0,150.0,3.0,37.750616,-122.417924,2016-10-19 23:00:30.512467
379418,510040,Entire home/apt,,Bernal Heights,8,4.5,6,3.0,330.0,4.0,37.74587,-122.416263,2016-10-19 23:00:28.220462
15287640,93714995,Private room,,Financial District,1,,2,1.0,76.0,7.0,37.789828,-122.406988,2016-10-19 23:00:14.952997
8597021,38613950,Private room,,Outer Mission,6,5.0,2,1.0,125.0,1.0,37.730403,-122.433313,2016-10-19 23:00:02.451545
7902108,4158043,Entire home/apt,,Excelsior,0,,7,2.0,200.0,5.0,37.724606,-122.432502,2016-10-19 22:59:56.461801
15409400,5251539,Entire home/apt,,Mission,4,5.0,5,2.0,200.0,,37.750989,-122.412391,2016-10-19 22:59:55.213099
1077444,5929123,Private room,,Outer Richmond,74,4.5,2,1.0,120.0,2.0,37.777121,-122.478316,2016-10-19 22:59:55.065398
9529057,5181498,Shared room,,Inner Sunset,0,,1,1.0,105.0,1.0,37.764785,-122.462207,2016-10-19 22:59:51.983384
14574123,1523339,Entire home/apt,,Mission,1,,2,0.0,149.0,2.0,37.762537,-122.422447,2016-10-19 22:59:48.366137
225205,1172942,Private room,,Mission,202,4.5,2,1.0,115.0,2.0,37.760967,-122.42313,2016-10-19 22:59:45.395129
7679393,1526465,Entire home/apt,,Noe Valley,6,4.5,4,1.0,140.0,3.0,37.753918,-122.429662,2016-10-19 22:59:42.974030
2761733,2495908,Entire home/apt,,Western Addition,2,,4,2.0,400.0,4.0,37.77241,-122.426957,2016-10-19 22:59:31.549952
12210252,63158749,Private room,,Nob Hill,18,4.5,2,1.0,119.0,1.0,37.791787,-122.418147,2016-10-19 22:58:59.146644
9201385,2066798,Entire home/apt,,Nob Hill,3,5.0,2,0.0,125.0,2.0,37.792913,-122.415439,2016-10-19 22:58:58.711467
12973719,70211768,Private room,,Downtown/Civic Center,13,3.0,2,1.0,97.0,3.0,37.783125,-122.417149,2016-10-19 22:58:54.719490
2547844,3151325,Private room,,Outer Mission,5,4.5,5,1.0,140.0,1.0,37.732629,-122.441398,2016-10-19 22:58:53.602848
1954963,6411847,Entire home/apt,,Haight Ashbury,72,5.0,2,0.0,150.0,3.0,37.776077,-122.440962,2016-10-19 22:58:50.483519
13141085,73243621,Private room,,Ocean View,2,,2,1.0,80.0,1.0,37.71596,-122.455497,2016-10-19 22:58:47.549306
1033012,873316,Private room,,Castro/Upper Market,145,5.0,1,1.0,99.0,2.0,37.762787,-122.429028,2016-10-19 22:58:44.951397
280549,1454829,Private room,,West of Twin Peaks,22,4.5,5,1.0,250.0,1.0,37.737734,-122.449555,2016-10-19 22:58:27.267567
10473640,19926419,Entire home/apt,,Excelsior,0,,12,5.0,1250.0,1.0,37.722878,-122.42848,2016-10-19 22:57:56.264686
420160,2089429,Private room,,Mission,82,5.0,2,1.0,109.0,3.0,37.763176,-122.407078,2016-10-19 22:57:45.193409
7272492,4797795,Private room,,Noe Valley,1,,2,1.0,120.0,2.0,37.747616,-122.425657,2016-10-19 22:57:42.139801
269756,1409731,Entire home/apt,,Twin Peaks,7,5.0,4,2.0,250.0,3.0,37.751097,-122.451135,2016-10-19 22:57:38.490738
12899632,20573293,Entire home/apt,,South of Market,45,5.0,2,0.0,100.0,2.0,37.775805,-122.417327,2016-10-19 22:57:21.847672
8352853,44025170,Entire home/apt,,Russian Hill,8,5.0,2,1.0,280.0,1.0,37.79801,-122.421771,2016-10-19 22:46:55.412441
4157431,21573904,Entire home/apt,,Russian Hill,34,5.0,4,1.0,220.0,8.0,37.798841,-122.420242,2016-10-19 22:46:55.096888
8322485,9895052,Private room,,Nob Hill,0,,1,1.0,125.0,2.0,37.793155,-122.417569,2016-10-19 22:46:46.904312
794815,4187497,Private room,,North Beach,0,,1,1.0,350.0,4.0,37.804161,-122.412067,2016-10-19 22:46:45.371405
12134687,29543681,Entire home/apt,,South of Market,0,,6,2.0,575.0,3.0,37.779202,-122.413791,2016-10-19 22:46:43.270097
10732651,3889287,Entire home/apt,,Western Addition,0,,2,1.0,750.0,3.0,37.773513,-122.430506,2016-10-19 22:46:30.015842
1117813,6135509,Entire home/apt,,Outer Mission,27,4.5,4,2.0,152.0,1.0,37.72731,-122.438638,2016-10-19 22:46:28.413234
10929061,56658434,Private room,,Inner Richmond,2,,2,1.0,110.0,2.0,37.777714,-122.471686,2016-10-19 22:46:25.030834
1392204,7526456,Private room,,West of Twin Peaks,112,5.0,2,1.0,114.0,2.0,37.733508,-122.460566,2016-10-19 22:46:20.565321
4532551,23500389,Entire home/apt,,Noe Valley,65,5.0,4,1.0,229.0,4.0,37.752227,-122.428562,2016-10-19 22:45:59.570258
10839934,8334445,Shared room,,Western Addition,0,,2,1.0,160.0,1.0,37.774644,-122.432634,2016-10-19 22:45:51.608180
9435207,41422621,Entire home/apt,,Downtown/Civic Center,0,,2,1.0,129.0,7.0,37.778955,-122.423301,2016-10-19 22:45:26.882048
1596696,8513389,Private room,,Western Addition,116,5.0,3,1.0,150.0,3.0,37.780241,-122.443452,2016-10-19 22:45:20.749997
13297150,20182948,Entire home/apt,,Haight Ashbury,2,,2,1.0,320.0,2.0,37.767072,-122.445588,2016-10-19 22:45:04.631656
100710,528857,Entire home/apt,,Mission,7,5.0,5,3.0,450.0,3.0,37.756291,-122.425178,2016-10-19 22:45:02.982342
11947710,31557639,Entire home/apt,,South of Market,2,,2,1.0,193.0,4.0,37.777266,-122.411127,2016-10-19 22:44:59.864449
1206127,3558266,Entire home/apt,,Bernal Heights,0,,6,3.0,299.0,3.0,37.736584,-122.418852,2016-10-19 22:44:50.881495
14155323,76785126,Private room,,Treasure Island/YBI,1,,1,1.0,85.0,3.0,37.822997,-122.374974,2016-10-19 22:44:49.258621
12815012,3126302,Entire home/apt,,Bernal Heights,11,5.0,8,4.0,500.0,3.0,37.746794,-122.404952,2016-10-19 22:44:48.263257
13275460,5284347,Entire home/apt,,Noe Valley,2,,6,3.0,400.0,3.0,37.746018,-122.429795,2016-10-19 22:44:44.824782
5345792,4253502,Private room,,Noe Valley,58,5.0,2,1.0,165.0,3.0,37.756134,-122.43081,2016-10-19 22:44:39.909284
5395767,27968996,Entire home/apt,,Glen Park,6,4.5,6,3.0,459.0,3.0,37.735838,-122.435677,2016-10-19 22:44:35.508736
7343277,22931450,Shared room,,North Beach,22,5.0,4,1.0,56.0,1.0,37.79909,-122.406315,2016-10-19 22:44:26.433071
2012209,10352705,Entire home/apt,,Castro/Upper Market,31,4.5,4,2.0,250.0,2.0,37.765359,-122.426389,2016-10-19 22:44:18.616502
9317689,32630881,Private room,,Outer Richmond,0,,2,1.0,80.0,9.0,37.77376,-122.498294,2016-10-19 22:44:08.709137
14614355,49577520,Entire home/apt,,Outer Sunset,5,4.5,6,2.0,230.0,3.0,37.762306,-122.503144,2016-10-19 22:44:07.043657
15283998,1201550,Entire home/apt,,Russian Hill,1,,4,2.0,250.0,3.0,37.803527,-122.422156,2016-10-19 22:44:02.274902
13958525,38307539,Entire home/apt,,Noe Valley,1,,5,2.0,300.0,2.0,37.7439,-122.428075,2016-10-19 22:44:00.315332
10362654,28651428,Entire home/apt,,Russian Hill,1,,8,3.0,1000.0,1.0,37.80626,-122.422391,2016-10-19 22:43:33.888061
1397537,823500,Entire home/apt,,Bernal Heights,11,4.5,6,3.0,200.0,5.0,37.747271,-122.415168,2016-10-19 22:43:29.473442
3052906,1864790,Private room,,Haight Ashbury,10,4.5,2,1.0,100.0,1.0,37.767476,-122.447677,2016-10-19 22:43:25.243601
10801460,3812152,Entire home/apt,,Haight Ashbury,0,,6,2.0,800.0,2.0,37.771692,-122.439926,2016-10-19 22:43:19.147786
14297060,18227230,Shared room,,Haight Ashbury,0,,3,1.0,175.0,1.0,37.770421,-122.453161,2016-10-19 22:43:18.746772
810969,659041,Entire home/apt,,Russian Hill,60,4.5,2,1.0,169.0,7.0,37.800196,-122.410097,2016-10-19 22:43:15.736291
1836986,1135593,Entire home/apt,,Marina,20,5.0,4,1.0,175.0,2.0,37.802869,-122.428237,2016-10-19 22:43:15.377536
10728933,55453139,Entire home/apt,,Marina,0,,2,0.0,500.0,3.0,37.799879,-122.443576,2016-10-19 22:43:08.563144
13261012,280645,Entire home/apt,,Mission,5,5.0,1,0.0,125.0,1.0,37.752576,-122.420599,2016-10-19 22:42:56.722277
12275528,27123550,Private room,,Bayview,17,4.0,2,1.0,55.0,1.0,37.734919,-122.386848,2016-10-19 22:42:55.982272
8939085,46107456,Private room,,Outer Richmond,49,4.0,4,1.0,135.0,1.0,37.782174,-122.479079,2016-10-19 22:42:53.250478
10985925,24378496,Private room,,North Beach,0,,2,1.0,110.0,1.0,37.803192,-122.407416,2016-10-19 22:42:47.323476
1121953,6155819,Entire home/apt,,Western Addition,12,5.0,2,0.0,600.0,4.0,37.771651,-122.425717,2016-10-19 22:42:37.436088
10949114,870195,Entire home/apt,,Marina,0,,2,1.0,325.0,3.0,37.805738,-122.43577,2016-10-19 22:42:33.921737
11376272,6557968,Entire home/apt,,Bernal Heights,2,,3,2.0,125.0,7.0,37.743242,-122.419149,2016-10-19 22:42:30.232157
14697748,91402307,Entire home/apt,,North Beach,3,4.5,4,1.0,250.0,2.0,37.802783,-122.409444,2016-10-19 22:42:26.854874
4948327,5366845,Private room,,Inner Richmond,117,4.5,2,1.0,65.0,1.0,37.784779,-122.468035,2016-10-19 22:42:21.472094
5202841,26914130,Entire home/apt,,Russian Hill,92,4.5,4,1.0,225.0,2.0,37.802195,-122.421711,2016-10-19 22:42:19.209121
148627,709325,Entire home/apt,,Marina,88,4.5,2,1.0,165.0,,37.800941,-122.427496,2016-10-19 22:42:14.447614
7115664,37275502,Entire home/apt,,North Beach,45,4.0,5,0.0,215.0,2.0,37.807225,-122.416201,2016-10-19 22:42:13.716563
6275843,118409,Entire home/apt,,Castro/Upper Market,1,,5,3.0,700.0,5.0,37.759381,-122.431861,2016-10-19 22:42:04.255508
8114515,2074396,Private room,,Mission,2,,2,1.0,118.0,3.0,37.769927,-122.422878,2016-10-19 22:42:01.858092
11066861,2388702,Entire home/apt,,South of Market,0,,6,2.0,599.0,1.0,37.777784,-122.414011,2016-10-19 22:41:50.505129
10829845,15866729,Private room,,Haight Ashbury,0,,2,1.0,174.0,1.0,37.770509,-122.450849,2016-10-19 22:41:50.330981
7697664,40428659,Entire home/apt,,South of Market,0,,4,1.0,100.0,1.0,37.781621,-122.407123,2016-10-19 22:41:47.022792
9389099,5285544,Entire home/apt,,Bernal Heights,6,5.0,4,2.0,399.0,2.0,37.745231,-122.413437,2016-10-19 22:41:46.542843
758815,3998807,Entire home/apt,,Marina,3,4.5,3,1.0,200.0,2.0,37.805084,-122.44226,2016-10-19 22:41:43.931200
8697987,10076485,Private room,,Mission,101,5.0,2,1.0,159.0,1.0,37.749295,-122.417468,2016-10-19 22:41:41.999263
7807401,22053410,Shared room,,Inner Richmond,0,,1,1.0,75.0,1.0,37.781333,-122.454758,2016-10-19 22:41:36.839338
183859,882283,Entire home/apt,,Glen Park,124,5.0,4,2.0,224.0,3.0,37.736257,-122.43677,2016-10-19 22:41:34.395893
8992582,2956152,Private room,,Twin Peaks,53,4.5,2,1.0,89.0,1.0,37.751863,-122.444097,2016-10-19 22:41:32.737428
7716327,2330719,Entire home/apt,,Western Addition,0,,4,2.0,150.0,7.0,37.774213,-122.432873,2016-10-19 22:41:16.218432
13032810,71859708,Private room,,Western Addition,1,,2,1.0,99.0,1.0,37.784002,-122.434171,2016-10-19 22:41:13.922469
12763538,3149426,Private room,,Western Addition,1,,2,1.0,80.0,14.0,37.773304,-122.431253,2016-10-19 22:41:10.942084
13280672,1346550,Private room,,Mission,19,5.0,2,1.0,89.0,,37.763844,-122.424795,2016-10-19 22:40:50.277470
8117174,489467,Entire home/apt,,Bernal Heights,4,5.0,4,2.0,299.0,2.0,37.746632,-122.407258,2016-10-19 22:40:45.150747
2550991,8520365,Entire home/apt,,Castro/Upper Market,29,4.5,2,0.0,135.0,5.0,37.757132,-122.431989,2016-10-19 22:40:42.352976
2046807,8898672,Entire home/apt,,Mission,68,4.5,2,0.0,149.0,5.0,37.760459,-122.419044,2016-10-19 22:40:41.819162
2846662,9476237,Shared room,,Pacific Heights,1,,3,1.0,250.0,1.0,37.796174,-122.431614,2016-10-19 22:40:38.326530
1198860,2416757,Entire home/apt,,Russian Hill,14,5.0,3,1.0,225.0,2.0,37.800486,-122.413815,2016-10-19 22:40:29.275409
6936417,1407112,Entire home/apt,,Potrero Hill,17,5.0,2,2.0,290.0,,37.760283,-122.393646,2016-10-19 22:40:26.834194
3182798,4966974,Entire home/apt,,North Beach,29,5.0,4,2.0,208.0,2.0,37.807383,-122.409444,2016-10-19 22:40:15.702126
5788099,30031657,Entire home/apt,,North Beach,26,5.0,4,2.0,575.0,2.0,37.799114,-122.405668,2016-10-19 22:40:01.672352
7696468,23968721,Entire home/apt,,Russian Hill,2,,4,1.0,200.0,3.0,37.80643,-122.419876,2016-10-19 22:39:48.867364
269371,838614,Private room,,Castro/Upper Market,75,4.5,2,1.0,95.0,3.0,37.762945,-122.439736,2016-10-19 22:39:46.769501
5807320,24883822,Entire home/apt,,Haight Ashbury,27,4.5,4,1.0,140.0,1.0,37.774033,-122.444648,2016-10-19 22:39:43.568905
9043358,7626895,Entire home/apt,,Castro/Upper Market,1,,4,2.0,300.0,3.0,37.761344,-122.426157,2016-10-19 22:39:38.870142
13219968,25719685,Entire home/apt,,Glen Park,2,,8,4.0,600.0,3.0,37.741427,-122.425975,2016-10-19 22:39:28.932232
14688313,9953895,Private room,,Castro/Upper Market,4,4.5,2,1.0,80.0,4.0,37.757577,-122.429564,2016-10-19 22:39:19.311329
15380061,6138841,Entire home/apt,,Glen Park,0,,5,3.0,350.0,3.0,37.736396,-122.437705,2016-10-19 22:39:16.817502
8650354,45465607,Private room,,Pacific Heights,25,4.5,2,1.0,100.0,,37.790858,-122.441757,2016-10-19 22:39:05.790308
13574203,1332018,Private room,,Marina,5,4.0,2,1.0,85.0,2.0,37.796965,-122.431484,2016-10-19 22:38:54.687345
6952855,4589971,Entire home/apt,,Nob Hill,22,4.5,2,1.0,200.0,2.0,37.790819,-122.416892,2016-10-19 22:38:45.265878
14049707,1191248,Entire home/apt,,Inner Richmond,4,4.5,5,2.0,230.0,3.0,37.782602,-122.459647,2016-10-19 22:38:39.895522
964048,5154908,Entire home/apt,,Twin Peaks,14,5.0,4,2.0,235.0,2.0,37.749055,-122.450532,2016-10-19 22:38:38.046063
14427529,3000799,Entire home/apt,,Marina,3,4.5,2,1.0,300.0,3.0,37.797243,-122.431939,2016-10-19 22:38:36.733497
10968160,6148678,Private room,,Bernal Heights,1,,2,1.0,120.0,1.0,37.746987,-122.424539,2016-10-19 22:38:21.436459
9251681,370518,Entire home/apt,,Haight Ashbury,10,4.5,5,1.0,169.0,3.0,37.771034,-122.437819,2016-10-19 22:38:18.612870
862220,355513,Entire home/apt,,Potrero Hill,67,5.0,3,1.0,210.0,3.0,37.75658,-122.40047,2016-10-19 22:38:13.612391
15483246,72518543,Entire home/apt,,Financial District,0,,3,1.0,209.0,1.0,37.791588,-122.393044,2016-10-19 22:38:06.161142
3590822,8265634,Private room,,Inner Richmond,2,,1,1.0,125.0,4.0,37.775315,-122.474392,2016-10-19 22:38:01.376157
14551483,27939488,Private room,,Noe Valley,12,5.0,2,1.0,180.0,1.0,37.756592,-122.425987,2016-10-19 22:37:56.459647
3712976,1518236,Entire home/apt,,Glen Park,18,5.0,4,2.0,305.0,6.0,37.73836,-122.427045,2016-10-19 22:37:55.523004
3689368,15698216,Entire home/apt,,Bayview,135,4.5,6,2.0,224.0,1.0,37.728375,-122.397801,2016-10-19 22:37:52.568771
3290739,930744,Private room,,Marina,155,5.0,2,1.0,169.0,2.0,37.798592,-122.436238,2016-10-19 22:37:33.157864
9015148,46519368,Private room,,Nob Hill,63,4.5,2,1.0,110.0,1.0,37.796007,-122.410961,2016-10-19 22:37:28.608372
13901320,82358203,Private room,,Nob Hill,11,4.5,2,1.0,79.0,,37.789865,-122.418114,2016-10-19 22:37:09.053567
6912869,24954931,Entire home/apt,,North Beach,2,,3,1.0,100.0,3.0,37.804496,-122.413611,2016-10-19 22:37:09.018507
7995834,42206888,Entire home/apt,,Castro/Upper Market,28,5.0,3,1.0,185.0,5.0,37.757499,-122.436059,2016-10-19 22:37:07.081075
7161943,230891,Entire home/apt,,Western Addition,4,5.0,4,2.0,445.0,3.0,37.787591,-122.443575,2016-10-19 22:37:05.402798
1851886,2716431,Entire home/apt,,Haight Ashbury,8,4.5,5,2.0,225.0,15.0,37.766346,-122.451723,2016-10-19 22:37:02.141866
2119773,2501567,Entire home/apt,,Ocean View,133,5.0,4,2.0,130.0,1.0,37.718469,-122.451813,2016-10-19 22:36:40.199535
7859868,610310,Entire home/apt,,Russian Hill,5,5.0,4,2.0,1500.0,1.0,37.800633,-122.424021,2016-10-19 22:36:36.436689
4182201,16922215,Entire home/apt,,North Beach,12,4.0,6,2.0,400.0,2.0,37.802888,-122.41108,2016-10-19 22:36:28.793417
9411094,48797369,Entire home/apt,,Nob Hill,0,,2,1.0,270.0,1.0,37.792488,-122.418367,2016-10-19 22:36:26.874903
9435665,48905746,Private room,,Noe Valley,68,5.0,2,1.0,85.0,1.0,37.746873,-122.428397,2016-10-19 22:36:24.315160
13925189,313844,Private room,,Western Addition,5,4.5,2,1.0,115.0,1.0,37.782628,-122.444602,2016-10-19 22:36:23.593328
1898486,9861752,Entire home/apt,,Noe Valley,66,5.0,4,2.0,245.0,6.0,37.744497,-122.42718,2016-10-19 22:36:21.176293
11460984,5237239,Private room,,Financial District,3,4.5,2,1.0,225.0,1.0,37.79246,-122.400732,2016-10-19 22:36:07.220115
8439920,3585574,Private room,,Russian Hill,5,5.0,2,1.0,120.0,2.0,37.805823,-122.419186,2016-10-19 22:36:05.848093
